Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000091089.11|ENSMUSG00000026825.17|chr2|-	172532.6	32309436	chr2:32308471-32309637	534.84	0.00	1.00	678.84	0.00	1.00	656.87	0.00	1.00	536.94	0.00	1.00	503.59	0.00	1.00	453.95	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000192607.5|ENSMUSG00000027763.13|chr3|+	1470.6	60626581	chr3:60626380-60629380	134.75	0.00	1.00	137.29	0.00	1.00	120.26	0.00	1.00	158.61	0.00	1.00	148.71	0.00	1.00	134.97	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000019577.9|ENSMUSG00000019433.9|chr8|+	571.1	83664319	chr8:83664118-83664694	79.26	0.00	1.00	81.13	0.00	1.00	85.75	0.00	1.00	79.95	0.00	1.00	91.20	0.00	1.00	119.58	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000030315.12|ENSMUSG00000028580.15|chr4|+	278.8	130780236	chr4:130779772-130781564	104.86	6.53	0.94	113.83	21.38	0.84	125.19	35.46	0.78	98.42	29.99	0.77	102.24	19.26	0.84	102.79	46.86	0.69	0.853333333333	0.766666666667	0.0866666666667	0.09239199796001552	1.0	N
ENSMUST00000140279.7|ENSMUSG00000014504.16|chr18|+	9215.4	34336300	chr18:34336099-34336551	399.09	0.00	1.00	209.36	0.00	1.00	241.75	0.00	1.00	384.30	0.00	1.00	351.24	0.00	1.00	379.82	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000118878.7|ENSMUSG00000031314.18|chrX|+	212.3	101599730	chrX:101599309-101601034	49.03	101.38	0.33	51.31	124.59	0.29	57.39	83.31	0.41	44.60	85.57	0.34	52.07	101.29	0.34	59.43	107.47	0.36	0.343333333333	0.346666666667	-0.00333333333333	0.9039403567281065	1.0	N
ENSMUST00000184535.7|ENSMUSG00000027327.16|chr2|-	964.3	131146774	chr2:131146324-131146975	104.55	0.00	1.00	61.64	0.00	1.00	103.52	0.00	1.00	70.05	0.00	1.00	87.42	0.00	1.00	81.87	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000122334.7|ENSMUSG00000028013.16|chr3|+	1729.0	133378072	chr3:133377850-133378235	14.70	243.81	0.06	17.08	289.65	0.06	23.93	281.21	0.08	24.28	259.76	0.09	18.49	231.75	0.07	21.38	241.00	0.08	0.0666666666667	0.08	-0.0133333333333	0.5069995787529379	1.0	N
ENSMUST00000168713.1|ENSMUSG00000042350.13|chr12|-	3944.9	84951180	chr12:84951082-84951381	379.49	0.00	1.00	398.32	0.00	1.00	419.19	3.42	0.99	405.69	0.00	1.00	362.07	0.00	1.00	365.83	0.00	1.00	0.996666666667	1.0	-0.00333333333333	1.0	1.0	N
ENSMUST00000132453.7|ENSMUSG00000025261.18|chrX|+	11825.1	151909949	chrX:151909409-151910192	8.98	62.95	0.12	9.94	61.20	0.14	10.72	68.11	0.14	8.90	61.56	0.13	6.58	69.17	0.09	10.06	55.30	0.15	0.133333333333	0.123333333333	0.01	1.0	1.0	N
ENSMUST00000221324.1|ENSMUSG00000057649.6|chr13|+	1822.9	73960439	chr13:73960238-73960571	213.00	0.00	1.00	234.44	0.00	1.00	284.63	0.00	1.00	232.95	0.00	1.00	199.28	0.00	1.00	249.23	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000147423.7|ENSMUSG00000025199.16|chr19|-	176.3	44081794	chr19:44081415-44081995	26.21	6.95	0.79	32.64	0.00	1.00	30.86	2.21	0.93	34.55	0.00	1.00	32.32	1.16	0.97	25.61	6.27	0.80	0.906666666667	0.923333333333	-0.0166666666667	1.0	1.0	N
ENSMUST00000089059.8|ENSMUSG00000019188.16|chr2|+	523.4	152704844	chr2:152704622-152705036	17.50	86.87	0.17	31.94	155.28	0.17	21.21	113.17	0.16	32.86	147.20	0.18	19.48	101.94	0.16	24.64	149.54	0.14	0.166666666667	0.16	0.00666666666667	1.0	1.0	N
ENSMUST00000030347.11|ENSMUSG00000028608.15|chr4|+	291.7	107897152	chr4:107896871-107897262	59.91	2.85	0.95	48.16	11.15	0.81	81.69	0.00	1.00	67.46	29.52	0.70	41.68	13.62	0.75	48.68	17.11	0.74	0.92	0.73	0.19	0.0006578083847059062	0.0261372494311	N
ENSMUST00000199876.4|ENSMUSG00000028034.15|chr3|+	17.9	152235684	chr3:152235468-152235768	33.26	4.33	0.88	32.03	0.00	1.00	33.34	0.00	1.00	35.05	0.00	1.00	28.91	6.46	0.82	NA	NA	NA	0.96	0.91	0.05	0.6135476463834673	1.0	N
ENSMUST00000165803.1|ENSMUSG00000021244.15|chr12|+	384.0	85050490	chr12:85050289-85050621	1.84	32.42	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.43	20.92	0.35	NA	NA	NA	0.05	0.35	-0.3	0.00100179937594777	0.0362717220061	N
ENSMUST00000134628.1|ENSMUSG00000073676.4|chr1|+	11685.2	55089252	chr1:55089051-55089915	7.80	329.95	0.02	6.51	410.03	0.02	11.94	379.37	0.03	6.90	352.03	0.02	9.32	345.68	0.03	9.09	399.11	0.02	0.0233333333333	0.0233333333333	0.0	1.0	1.0	N
ENSMUST00000025127.4|ENSMUSG00000024277.14|chr18|+	2190.1	23891058	chr18:23890857-23893857	106.95	0.00	1.00	125.33	0.00	1.00	131.57	0.00	1.00	119.06	0.00	1.00	135.19	0.00	1.00	111.25	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000034783.5|ENSMUSG00000032251.12|chr9|+	200.9	82846838	chr9:82846527-82847020	97.69	22.89	0.81	94.81	23.61	0.80	85.06	37.11	0.70	77.35	6.94	0.92	78.22	0.00	1.00	81.96	33.34	0.71	0.77	0.876666666667	-0.106666666667	0.1560918098523427	1.0	N
ENSMUST00000150137.1|ENSMUSG00000036438.14|chr17|-	26558188.9	87435010	chr17:87434894-87435211	15.96	5322.26	0.00	731.34	4651.39	0.14	3653.47	3380.65	0.52	179.49	5066.92	0.03	1751.37	3822.08	0.31	855.05	4304.28	0.17	0.22	0.17	0.05	1.673315167314559e-21	5.61069850884e-19	N
ENSMUST00000071699.10|ENSMUSG00000017670.16|chr2|-	824.9	165291981	chr2:165291117-165292182	4.64	51.01	0.08	4.08	49.46	0.08	4.64	38.79	0.11	2.11	49.01	0.04	4.72	30.31	0.13	5.48	32.72	0.14	0.09	0.103333333333	-0.0133333333333	1.0	1.0	N
ENSMUST00000185072.7|ENSMUSG00000022066.16|chr14|+	842.6	69585228	chr14:69584898-69585520	292.85	0.00	1.00	349.41	0.00	1.00	336.51	0.00	1.00	308.66	0.00	1.00	319.50	0.00	1.00	328.04	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000149416.1|ENSMUSG00000036985.12|chrX|-	73.5	48206756	chrX:48206668-48206957	30.62	14.96	0.67	41.24	0.00	1.00	39.87	11.31	0.78	29.49	7.07	0.81	36.31	16.26	0.69	36.06	0.63	0.98	0.816666666667	0.826666666667	-0.01	1.0	1.0	N
ENSMUST00000191304.6|ENSMUSG00000014850.15|chr13|-	166.9	92212345	chr13:92211881-92212546	50.80	0.00	1.00	63.79	0.00	1.00	33.15	0.00	1.00	41.78	0.00	1.00	59.44	0.00	1.00	54.07	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000160261.7|ENSMUSG00000034098.14|chr3|+	376.3	76707676	chr3:76707475-76708636	101.83	0.00	1.00	79.97	0.00	1.00	112.08	0.00	1.00	100.34	0.00	1.00	88.88	0.00	1.00	122.18	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000121949.1|ENSMUSG00000031657.16|chr8|+	101.5	88171060	chr8:88170859-88171997	42.13	0.00	1.00	49.23	0.00	1.00	46.18	0.00	1.00	38.61	0.00	1.00	NA	NA	NA	NA	NA	NA	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000033088.7|ENSMUSG00000030816.8|chr7|+	352.0	127602668	chr7:127602467-127603585	68.43	0.00	1.00	90.28	0.00	1.00	110.68	0.00	1.00	70.07	0.00	1.00	81.28	0.00	1.00	70.30	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000232031.1|ENSMUSG00000055692.21|chr16|+	680.9	17276887	chr16:17276634-17277125	67.88	49.43	0.58	81.95	24.86	0.77	67.07	76.06	0.47	67.46	30.93	0.69	52.81	71.32	0.43	87.51	33.92	0.72	0.606666666667	0.613333333333	-0.00666666666667	0.8944340060579485	1.0	N
ENSMUST00000106228.7|ENSMUSG00000030846.15|chr7|-	2287.6	128441794	chr7:128441403-128442659	52.65	0.01	1.00	47.51	19.32	0.71	37.77	21.17	0.64	267.75	84.49	0.76	170.93	56.86	0.75	206.81	99.20	0.68	0.783333333333	0.73	0.0533333333333	0.5170789305139927	1.0	N
ENSMUST00000040561.5|ENSMUSG00000035007.5|chr11|+	936.8	101433653	chr11:101433452-101435673	64.10	0.00	1.00	95.84	0.00	1.00	78.42	0.00	1.00	75.67	0.00	1.00	60.99	0.00	1.00	53.57	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000216222.1|ENSMUSG00000032120.11|chr9|-	1078.3	44310859	chr9:44310211-44311267	84.16	2.08	0.98	87.11	1.10	0.99	94.86	62.18	0.60	91.61	0.00	1.00	106.48	0.00	1.00	125.71	0.00	1.00	0.856666666667	1.0	-0.143333333333	3.3230057160500745e-07	2.81615605299e-05	N
ENSMUST00000135405.7|ENSMUSG00000034285.15|chr11|+	442.1	4884223	chr11:4884022-4884404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000228475.1|ENSMUSG00000022295.8|chr15|+	82790.4	38691813	chr15:38691612-38692443	1207.08	0.00	1.00	1218.51	0.00	1.00	1208.27	0.00	1.00	1178.08	0.00	1.00	1112.93	0.00	1.00	1085.68	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000211402.1|ENSMUSG00000038497.7|chr8|+	51.0	13288410	chr8:13288209-13290010	0.02	38.31	0.00	0.17	35.01	0.00	0.08	46.46	0.00	0.20	45.02	0.00	1.39	32.93	0.04	0.08	49.82	0.00	0.0	0.0133333333333	-0.0133333333333	1.0	1.0	N
ENSMUST00000140188.7|ENSMUSG00000027546.15|chr2|-	2263.3	168668006	chr2:168667079-168668218	1.45	459.18	0.00	2.27	471.64	0.00	1.36	536.52	0.00	1.61	490.51	0.00	1.26	345.45	0.00	1.43	507.60	0.00	0.0	0.0	0.0	1.0	1.0	N
ENSMUST00000130557.1|ENSMUSG00000030849.18|chr7|-	340.6	130164011	chr7:130163608-130164215	55.82	0.00	1.00	59.91	0.00	1.00	81.34	0.00	1.00	50.15	0.62	0.99	64.13	0.00	1.00	50.50	0.00	1.00	1.0	0.996666666667	0.00333333333333	1.0	1.0	N
ENSMUST00000176141.7|ENSMUSG00000035877.17|chr2|-	463.0	160782178	chr2:160781904-160782379	103.51	0.00	1.00	101.28	0.00	1.00	142.82	0.00	1.00	100.89	0.00	1.00	118.10	0.00	1.00	117.03	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000088666.3|ENSMUSG00000067879.3|chr1|+	114876.2	9624914	chr1:9624713-9627143	748.59	0.00	1.00	843.12	0.00	1.00	822.14	0.00	1.00	796.30	0.00	1.00	715.22	0.00	1.00	684.28	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000102888.9|ENSMUSG00000024617.16|chr18|+	3173569.8	60984978	chr18:60984777-60988152	1676.61	0.00	1.00	1431.41	0.00	1.00	1549.45	0.00	1.00	7637.35	0.00	1.00	6888.48	0.00	1.00	6598.44	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000164877.7|ENSMUSG00000041670.17|chr1|-	626.1	22288438	chr1:22286915-22288640	80.98	82.06	0.50	73.29	77.22	0.49	61.35	55.50	0.53	90.46	33.36	0.73	71.04	91.23	0.44	59.67	104.02	0.36	0.506666666667	0.51	-0.00333333333333	0.9068462630713539	1.0	N
ENSMUST00000000901.12|ENSMUSG00000000881.12|chrX|+	3271.4	100816420	chrX:100816219-100818406	192.04	0.00	1.00	258.21	0.00	1.00	207.46	0.00	1.00	216.96	0.00	1.00	178.33	0.00	1.00	224.20	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000003395.9|ENSMUSG00000032177.17|chr9|+	66.9	21210895	chr9:21210694-21211627	34.74	0.00	1.00	36.30	0.00	1.00	39.57	0.00	1.00	39.38	0.00	1.00	38.12	0.00	1.00	NA	NA	NA	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000049460.11|ENSMUSG00000034708.12|chr11|+	450.7	102436536	chr11:102436335-102436807	125.87	0.00	1.00	99.38	0.00	1.00	115.17	0.00	1.00	145.13	0.00	1.00	85.06	0.00	1.00	120.11	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000237006.1|ENSMUSG00000117771.1|chr19|+	88840.8	5436521	chr19:5435998-5436725	177.45	66.51	0.73	147.16	88.32	0.62	168.86	59.80	0.74	366.96	208.22	0.64	374.48	209.34	0.64	388.03	230.35	0.63	0.696666666667	0.636666666667	0.06	0.10497217847285574	1.0	N
ENSMUST00000026560.13|ENSMUSG00000025487.15|chr7|+	3269.4	140898395	chr7:140898193-140898642	65.87	156.05	0.30	42.19	113.62	0.27	45.54	131.43	0.26	73.05	142.10	0.34	52.96	112.12	0.32	74.48	155.33	0.32	0.276666666667	0.326666666667	-0.05	0.3190356409137062	1.0	N
ENSMUST00000113835.9|ENSMUSG00000030016.14|chr6|+	1573.0	83986759	chr6:83986558-83986871	7.44	55.37	0.12	17.81	51.88	0.26	9.71	70.41	0.12	13.65	47.46	0.22	12.87	36.64	0.26	10.02	53.70	0.16	0.166666666667	0.213333333333	-0.0466666666667	0.49171704286886464	1.0	N
ENSMUST00000173269.1|ENSMUSG00000007038.5|chr17|+	3086.0	34934806	chr17:34934605-34935953	122.54	0.00	1.00	222.89	0.00	1.00	209.54	0.00	1.00	189.62	0.00	1.00	200.14	0.00	1.00	180.67	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000020286.6|ENSMUSG00000020089.8|chr10|+	15073.2	61674020	chr10:61673819-61674168	533.61	0.00	1.00	541.11	0.00	1.00	610.59	0.00	1.00	469.15	0.00	1.00	473.47	0.00	1.00	517.69	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000147659.1|ENSMUSG00000048078.16|chr7|+	173.6	96843187	chr7:96842926-96843440	8.23	22.64	0.27	15.89	18.80	0.46	20.41	25.79	0.44	20.05	20.89	0.49	9.11	24.55	0.27	15.02	24.03	0.38	0.39	0.38	0.01	1.0	1.0	N
ENSMUST00000136050.7|ENSMUSG00000007653.12|chr11|+	2165.6	42487416	chr11:42487196-42487545	4.43	49.08	0.08	3.01	55.46	0.05	2.04	43.25	0.05	4.48	37.41	0.11	0.00	44.56	0.00	1.67	38.53	0.04	0.06	0.05	0.01	1.0	1.0	N
ENSMUST00000078873.10|ENSMUSG00000061080.11|chr16|+	18864.0	42144753	chr16:42144552-42146213	7.27	583.19	0.01	5.74	574.97	0.01	4.50	570.97	0.01	5.11	526.29	0.01	5.15	472.77	0.01	4.36	451.63	0.01	0.01	0.01	0.0	1.0	1.0	N
ENSMUST00000161876.1|ENSMUSG00000027804.13|chr3|+	10202.8	79597886	chr3:79597685-79598188	42.67	352.35	0.11	32.58	419.88	0.07	50.12	347.33	0.13	28.76	394.57	0.07	35.15	372.80	0.09	24.26	396.52	0.06	0.103333333333	0.0733333333333	0.03	0.13552553754894867	1.0	N
ENSMUST00000090023.12|ENSMUSG00000022841.15|chr16|+	15972.1	20543512	chr16:20543311-20544056	667.28	0.00	1.00	612.72	0.00	1.00	545.20	0.00	1.00	598.10	0.00	1.00	500.19	0.00	1.00	639.11	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000136986.1|ENSMUSG00000045038.14|chr17|+	35925.7	86496139	chr17:86495938-86496457	35.91	1044.09	0.03	23.90	751.24	0.03	42.20	699.05	0.06	10.71	193.11	0.05	12.16	172.82	0.07	7.45	158.03	0.05	0.04	0.0566666666667	-0.0166666666667	0.41582536070001586	1.0	N
ENSMUST00000153383.7|ENSMUSG00000021830.14|chr14|-	304.8	45211037	chr14:45208027-45211238	13.81	20.99	0.40	15.36	26.39	0.37	15.51	19.14	0.45	16.22	33.19	0.33	16.78	22.46	0.43	16.83	25.07	0.40	0.406666666667	0.386666666667	0.02	1.0	1.0	N
ENSMUST00000107938.7|ENSMUSG00000038738.15|chr7|+	53.4	44357159	chr7:44356620-44360043	9.03	86.38	0.09	7.73	62.55	0.11	8.63	54.24	0.14	8.28	56.66	0.13	8.02	41.35	0.16	12.63	55.91	0.18	0.113333333333	0.156666666667	-0.0433333333333	0.6027208274903211	1.0	N
ENSMUST00000146730.8|ENSMUSG00000003279.17|chr17|+	6753.2	70815395	chr17:70815194-70816723	133.74	389.54	0.26	149.34	304.53	0.33	146.92	256.69	0.36	147.67	160.25	0.48	147.73	219.48	0.40	145.24	243.43	0.37	0.316666666667	0.416666666667	-0.1	0.003080777576889299	0.0928084245038	N
ENSMUST00000165293.7|ENSMUSG00000020594.14|chr12|+	1694.7	8749790	chr12:8749589-8752557	142.77	0.00	1.00	110.06	0.00	1.00	109.06	0.00	1.00	115.54	0.00	1.00	123.82	0.00	1.00	132.31	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000059270.9|ENSMUSG00000050244.9|chr13|+	70.2	12438790	chr13:12438589-12438893	69.53	2.61	0.96	101.79	0.00	1.00	75.26	0.00	1.00	59.96	4.08	0.94	80.01	0.00	1.00	71.98	1.40	0.98	0.986666666667	0.973333333333	0.0133333333333	0.46405228758169986	1.0	N
ENSMUST00000149866.1|ENSMUSG00000057133.14|chr2|-	832.9	160992078	chr2:160991818-160992279	5.02	58.41	0.08	3.81	63.60	0.06	4.18	75.77	0.05	7.77	56.65	0.12	3.88	63.91	0.06	4.34	51.44	0.08	0.0633333333333	0.0866666666667	-0.0233333333333	0.7348082395228507	1.0	N
ENSMUST00000170209.7|ENSMUSG00000025159.8|chr19|-	16.1	41944376	chr19:41944205-41944580	35.49	8.67	0.80	27.42	16.60	0.62	45.54	11.27	0.80	47.33	0.00	1.00	40.80	9.06	0.82	63.94	0.00	1.00	0.74	0.94	-0.2	0.010067372322500262	0.221510913983	N
ENSMUST00000020484.7|ENSMUSG00000020250.10|chr10|+	857.8	82896605	chr10:82895977-82897712	149.40	32.58	0.82	157.90	13.95	0.92	141.06	27.57	0.84	93.35	40.55	0.70	129.87	15.56	0.89	133.06	22.72	0.85	0.86	0.813333333333	0.0466666666667	0.3540810511985662	1.0	N
ENSMUST00000132369.2|ENSMUSG00000041607.17|chr18|+	23540930.8	82584313	chr18:82584112-82585626	10164.53	0.00	1.00	11326.35	0.00	1.00	9559.56	0.00	1.00	10932.31	0.00	1.00	9477.71	0.00	1.00	8748.57	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000235259.1|ENSMUSG00000025208.9|chr19|-	3381.8	45005968	chr19:45005812-45006169	0.50	86.90	0.01	0.67	77.88	0.01	0.26	77.68	0.00	1.75	89.36	0.02	1.42	82.55	0.02	0.00	71.35	0.00	0.00666666666667	0.0133333333333	-0.00666666666667	1.0	1.0	N
ENSMUST00000237087.1|ENSMUSG00000035885.5|chr19|-	7032320.2	7215283	chr19:7215195-7215484	4322.27	0.00	1.00	4034.46	0.00	1.00	4722.65	0.00	1.00	4147.89	0.00	1.00	2817.57	0.00	1.00	2572.76	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000232433.1|ENSMUSG00000046598.15|chr16|+	153.7	31457487	chr16:31456625-31458897	21.02	38.38	0.35	28.73	33.10	0.46	22.39	31.21	0.42	20.40	58.58	0.26	26.91	21.15	0.56	17.62	79.48	0.18	0.41	0.333333333333	0.0766666666667	0.14040142923491333	1.0	N
ENSMUST00000068167.12|ENSMUSG00000026305.15|chr1|+	447.5	91128287	chr1:91128086-91128944	126.62	0.00	1.00	111.41	0.00	1.00	93.87	17.37	0.84	96.72	12.68	0.88	65.32	0.00	1.00	95.17	0.00	1.00	0.946666666667	0.96	-0.0133333333333	1.0	1.0	N
ENSMUST00000131332.7|ENSMUSG00000025287.15|chrX|+	1908.5	155297547	chrX:155297346-155297646	260.99	0.00	1.00	234.42	0.00	1.00	241.17	0.00	1.00	261.00	0.00	1.00	260.38	0.00	1.00	303.18	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000230177.1|ENSMUSG00000059895.13|chr15|+	489.5	73756998	chr15:73756797-73757227	78.63	0.00	1.00	66.79	0.00	1.00	97.78	0.00	1.00	105.63	0.00	1.00	69.50	0.00	1.00	121.62	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000027256.11|ENSMUSG00000026087.11|chr1|+	6455.6	37898262	chr1:37898061-37898535	32.44	205.24	0.14	70.13	176.72	0.28	44.99	191.04	0.19	52.65	231.59	0.19	77.00	281.69	0.21	37.19	239.02	0.13	0.203333333333	0.176666666667	0.0266666666667	0.5108979530307386	1.0	N
ENSMUST00000219024.1|ENSMUSG00000053825.15|chr10|+	7596.3	106931324	chr10:106931123-106932512	611.06	0.00	1.00	492.67	0.00	1.00	503.41	0.00	1.00	476.59	0.00	1.00	566.83	0.00	1.00	492.60	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000029629.14|ENSMUSG00000027999.15|chr3|+	1537.7	129895039	chr3:129894838-129895825	126.58	0.00	1.00	108.88	0.00	1.00	114.02	0.00	1.00	109.77	0.00	1.00	99.75	0.00	1.00	112.71	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000057503.6|ENSMUSG00000027270.14|chr2|+	644.8	136069214	chr2:136069013-136069917	72.51	0.00	1.00	85.99	0.00	1.00	57.03	0.00	1.00	72.54	0.00	1.00	70.47	0.00	1.00	64.59	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000141229.1|ENSMUSG00000052949.14|chr11|-	2693.5	116354276	chr11:116352652-116354477	3.46	123.55	0.03	2.63	184.25	0.01	2.36	141.05	0.02	2.28	159.29	0.01	2.40	115.00	0.02	2.74	160.50	0.02	0.02	0.0166666666667	0.00333333333333	1.0	1.0	N
ENSMUST00000026519.9|ENSMUSG00000062822.8|chr13|+	96.2	119485976	chr13:119485727-119486117	46.93	36.87	0.56	39.74	42.10	0.49	41.14	22.30	0.65	29.68	38.02	0.44	35.52	25.55	0.58	34.03	30.11	0.53	0.566666666667	0.516666666667	0.05	0.6132113702569282	1.0	N
ENSMUST00000231746.1|ENSMUSG00000022761.12|chr16|+	1764.1	17525878	chr16:17525677-17525989	192.01	35.72	0.84	142.67	47.78	0.75	218.34	9.16	0.96	213.69	121.69	0.64	219.78	20.45	0.91	177.02	40.43	0.81	0.85	0.786666666667	0.0633333333333	0.018313234447143424	0.333093547303	N
ENSMUST00000026292.14|ENSMUSG00000025261.18|chrX|+	6758.0	151935099	chrX:151934281-151935417	331.97	45.76	0.88	297.11	44.03	0.87	265.72	57.03	0.82	295.36	29.59	0.91	359.72	37.72	0.91	310.35	39.41	0.89	0.856666666667	0.903333333333	-0.0466666666667	0.10281879999955998	1.0	N
ENSMUST00000107953.8|ENSMUSG00000028456.18|chr4|+	199.5	43263501	chr4:43263300-43263605	84.59	0.00	1.00	96.68	23.60	0.80	103.43	0.00	1.00	99.72	0.00	1.00	92.12	0.00	1.00	95.49	0.00	1.00	0.933333333333	1.0	-0.0666666666667	0.014279283813672888	0.282208289762	N
ENSMUST00000203578.2|ENSMUSG00000079426.13|chr6|+	9494.9	113389006	chr6:113388771-113389652	418.26	0.00	1.00	327.27	4.14	0.99	360.30	11.55	0.97	245.22	66.79	0.79	283.47	54.96	0.84	352.89	0.00	1.00	0.986666666667	0.876666666667	0.11	3.1270633758978814e-09	3.73890120231e-07	N
ENSMUST00000108242.1|ENSMUSG00000027665.13|chr3|+	934.8	32462815	chr3:32462561-32466107	88.13	12.00	0.88	113.00	0.00	1.00	79.94	0.00	1.00	98.05	0.00	1.00	86.02	0.00	1.00	115.44	0.00	1.00	0.96	1.0	-0.04	0.0581091743193819	0.779262324197	N
ENSMUST00000066386.5|ENSMUSG00000053769.5|chr3|+	143.3	95138597	chr3:95138396-95139060	50.28	0.00	1.00	51.07	0.00	1.00	43.21	0.00	1.00	60.72	0.00	1.00	33.13	0.00	1.00	51.26	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000002133.8|ENSMUSG00000002064.10|chr11|+	1343.5	78255309	chr11:78254851-78255496	60.90	113.14	0.35	65.45	131.48	0.33	72.92	110.59	0.40	71.52	162.64	0.31	78.12	122.55	0.39	72.99	116.69	0.38	0.36	0.36	0.0	1.0	1.0	N
ENSMUST00000220124.1|ENSMUSG00000019943.10|chr10|+	50155.8	99023009	chr10:99022808-99023455	572.85	0.00	1.00	696.44	0.00	1.00	682.90	0.00	1.00	613.91	0.00	1.00	568.79	0.00	1.00	663.09	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000151644.7|ENSMUSG00000025487.15|chr7|+	2982.9	140897686	chr7:140897417-140897912	16.97	41.66	0.29	24.48	41.65	0.37	18.91	59.84	0.24	25.99	48.50	0.35	15.50	35.32	0.31	22.44	52.20	0.30	0.3	0.32	-0.02	0.8524228298785277	1.0	N
ENSMUST00000165017.1|ENSMUSG00000015176.11|chr19|+	298.4	46084278	chr19:46084012-46085528	75.07	104.97	0.42	87.04	82.78	0.51	85.32	96.63	0.47	69.15	42.32	0.62	79.03	82.57	0.49	79.67	113.28	0.41	0.466666666667	0.506666666667	-0.04	0.7408181506932736	1.0	N
ENSMUST00000033131.11|ENSMUSG00000030842.12|chr7|+	7638.9	101911718	chr7:101911273-101911903	73.50	193.73	0.28	79.47	216.21	0.27	85.33	222.35	0.28	93.91	247.89	0.27	97.01	243.25	0.29	87.03	236.57	0.27	0.276666666667	0.276666666667	0.0	1.0	1.0	N
ENSMUST00000154767.1|ENSMUSG00000029613.15|chr5|+	724.8	143873952	chr5:143873751-143874265	4.30	55.47	0.07	1.91	47.31	0.04	2.12	50.67	0.04	5.01	42.59	0.11	4.32	40.98	0.10	4.85	54.54	0.08	0.05	0.0966666666667	-0.0466666666667	0.4280059073868556	1.0	N
ENSMUST00000039627.11|ENSMUSG00000034156.16|chr11|+	539.3	87784948	chr11:87784736-87785928	107.41	0.00	1.00	93.42	0.00	1.00	109.86	0.00	1.00	129.43	0.00	1.00	81.43	3.61	0.96	123.75	0.00	1.00	1.0	0.986666666667	0.0133333333333	1.0	1.0	N
ENSMUST00000129303.1|ENSMUSG00000026034.17|chr1|-	5631.0	58412536	chr1:58412316-58412737	9.03	123.19	0.07	12.16	133.51	0.08	10.51	91.99	0.10	9.66	91.06	0.10	8.28	121.86	0.06	8.50	113.00	0.07	0.0833333333333	0.0766666666667	0.00666666666667	0.8103873329918274	1.0	N
